Date,Close
2024-11-11,112.2
2024-11-12,108.69
2024-11-13,104.74
2024-11-14,104.3
2024-11-18,103.07
2024-11-19,104.57
2024-11-21,101.52
2024-11-22,103.06
2024-11-25,107.0
2024-11-26,107.79
2024-11-27,111.53
2024-11-28,111.9
2024-11-29,110.5
2024-12-02,110.12
2024-12-03,114.02
2024-12-04,117.88
2024-12-05,118.32
2024-12-06,117.81
2024-12-09,115.88
2024-12-10,115.4
2024-12-11,114.3
2024-12-12,113.01
2024-12-13,113.05
2024-12-16,114.25
2024-12-17,110.23
2024-12-18,107.95
2024-12-19,106.55
2024-12-20,103.03
2024-12-23,102.43
2024-12-24,102.35
2024-12-25,102.35
2024-12-26,103.17
2024-12-27,102.8
2024-12-30,100.93
2024-12-31,101.9
2025-01-01,102.64
2025-01-02,103.78
2025-01-03,104.72
2025-01-06,99.81
2025-01-07,100.21
2025-01-08,100.11
2025-01-09,98.68
2025-01-10,94.27
2025-01-13,90.35
2025-01-14,94.62
2025-01-15,96.13
2025-01-16,99.74
2025-01-17,100.23
2025-01-20,101.67
2025-01-21,100.06
2025-01-22,99.03
2025-01-23,99.71
2025-01-24,98.37
2025-01-27,104.29
2025-01-28,109.51
2025-01-29,110.82
2025-01-30,111.23
2025-01-31,112.52
2025-02-01,108.28
2025-02-03,103.92
2025-02-04,106.86
2025-02-05,107.89
2025-02-06,107.63
2025-02-07,106.16
2025-02-10,103.93
2025-02-11,101.22
2025-02-12,102.5
2025-02-13,101.1
2025-02-14,99.3
2025-02-17,99.03
2025-02-18,96.0
2025-02-19,99.37
2025-02-20,104.74
2025-02-21,101.51
2025-02-24,100.89
2025-02-25,98.08
2025-02-27,96.58
2025-02-28,95.16
2025-03-03,95.52
2025-03-04,95.9
2025-03-05,97.88
2025-03-06,97.92
2025-03-07,97.41
2025-03-10,94.39
2025-03-11,94.99
2025-03-12,93.96
2025-03-13,94.12
2025-03-17,94.8
2025-03-18,98.58
2025-03-19,103.21
2025-03-20,102.4
2025-03-21,105.84
2025-03-24,107.64
2025-03-25,105.96
2025-03-26,105.41
2025-03-27,107.8
2025-03-28,107.12
2025-04-01,110.29
2025-04-02,111.55
2025-04-03,114.92
2025-04-04,111.49
2025-04-07,105.77
2025-04-08,109.25
2025-04-09,106.76
2025-04-11,108.16
2025-04-15,111.36
2025-04-16,115.48
2025-04-17,117.1
2025-04-21,119.87
2025-04-22,118.83
2025-04-23,117.78
2025-04-24,118.57
2025-04-25,115.29
2025-04-28,118.38
2025-04-29,117.82
2025-04-30,115.15
2025-05-02,115.38
2025-05-05,116.36
2025-05-06,109.07
2025-05-07,109.19
2025-05-08,107.86
2025-05-09,110.22
2025-05-30,121.94
2025-06-02,125.25
2025-06-03,124.59
2025-06-04,124.89
2025-06-05,124.25
2025-06-06,124.38
2025-06-09,129.31
2025-06-10,126.28
2025-06-11,123.95
2025-06-12,122.77
2025-06-13,121.19
2025-06-16,121.55
2025-06-17,119.65
2025-06-18,119.68
2025-06-19,115.68
2025-06-20,113.18
2025-06-23,114.41
2025-06-24,115.27
2025-06-25,116.15
2025-06-26,116.95
2025-06-27,116.77
2025-06-30,118.56
2025-07-01,121.09
2025-07-02,119.26
2025-07-03,118.49
2025-07-04,117.81
2025-07-07,117.72
2025-07-08,116.96
2025-07-09,115.91
2025-07-10,114.42
2025-07-11,114.56
2025-07-14,114.98
2025-07-15,115.79
2025-07-16,118.02
2025-07-17,116.1
2025-07-18,115.02
2025-07-21,114.67
2025-07-22,113.13
2025-07-23,113.23
2025-07-24,114.69
2025-07-25,113.14
2025-07-28,111.5
2025-07-29,112.17
2025-07-30,114.14
2025-07-31,111.38
2025-08-01,109.29
2025-08-04,111.69
2025-08-05,110.72
2025-08-06,111.71
2025-08-07,111.91
2025-08-08,110.63
2025-08-11,113.2
2025-08-12,113.51
2025-08-13,113.56
2025-08-14,113.19
2025-08-18,114.86
2025-08-19,116.49
2025-08-20,116.33
2025-08-21,115.95
2025-08-22,115.46
2025-08-25,114.97
2025-08-26,112.38
2025-08-28,110.27
2025-08-29,110.29
2025-09-01,111.89
2025-09-02,112.92
2025-09-03,113.57
2025-09-04,112.14
2025-09-05,112.57
2025-09-08,113.2
2025-09-09,112.77
2025-09-10,117.49
2025-09-11,118.1
2025-09-12,117.34
2025-09-15,117.99
2025-09-16,117.53
2025-09-17,119.64
2025-09-18,119.01
2025-09-19,120.47
2025-09-22,120.53
2025-09-23,121.43
2025-09-24,120.99
2025-09-25,119.76
2025-09-26,116.33
2025-09-29,118.77
2025-09-30,123.41
2025-10-01,124.63
2025-10-02,124.63
2025-10-03,125.53
2025-10-06,126.04
2025-10-07,126.24
2025-10-08,124.83
2025-10-09,125.79
2025-10-10,126.77
2025-10-13,126.86
2025-10-14,124.3
2025-10-15,126.34
2025-10-16,125.42
2025-10-17,123.11
2025-10-20,129.77
2025-10-21,130.26
2025-10-23,135.53
2025-10-24,133.9
2025-10-27,139.71
2025-10-28,141.09
2025-10-29,140.77
2025-10-30,138.84
2025-10-31,139.88
2025-11-03,142.13
2025-11-04,142.16
2025-11-06,140.17
2025-11-07,144.58
