Date,Close
2024-11-11,55.69
2024-11-12,54.9
2024-11-13,52.02
2024-11-14,51.92
2024-11-18,52.86
2024-11-19,52.65
2024-11-21,51.51
2024-11-22,52.32
2024-11-25,56.71
2024-11-26,56.07
2024-11-27,56.38
2024-11-28,56.01
2024-11-29,55.92
2024-12-02,55.48
2024-12-03,56.72
2024-12-04,61.01
2024-12-05,60.12
2024-12-06,59.98
2024-12-09,59.36
2024-12-10,58.9
2024-12-11,58.99
2024-12-12,59.41
2024-12-13,57.75
2024-12-16,58.0
2024-12-17,56.85
2024-12-18,55.02
2024-12-19,54.88
2024-12-20,55.07
2024-12-23,54.24
2024-12-24,54.23
2024-12-26,53.78
2024-12-27,53.13
2024-12-30,52.52
2024-12-31,53.31
2025-01-01,53.84
2025-01-02,53.96
2025-01-03,55.11
2025-01-06,53.12
2025-01-07,53.12
2025-01-08,52.68
2025-01-09,51.65
2025-01-10,49.94
2025-01-13,46.87
2025-01-14,55.34
2025-01-15,51.32
2025-01-16,52.24
2025-01-17,52.72
2025-01-20,54.37
2025-01-21,53.11
2025-01-22,52.32
2025-01-23,52.06
2025-01-24,50.39
2025-01-27,51.47
2025-01-28,51.07
2025-01-29,50.99
2025-01-30,51.07
2025-01-31,52.05
2025-02-01,50.55
2025-02-03,49.95
2025-02-04,50.59
2025-02-05,51.53
2025-02-06,51.09
2025-02-07,50.92
2025-02-10,50.07
2025-02-11,48.19
2025-02-12,48.62
2025-02-13,48.68
2025-02-14,47.9
2025-02-17,47.13
2025-02-18,45.81
2025-02-19,46.29
2025-02-20,47.37
2025-02-21,46.78
2025-02-24,45.99
2025-02-25,46.28
2025-02-27,45.34
2025-02-28,43.98
2025-03-03,42.0
2025-03-04,43.11
2025-03-05,44.13
2025-03-06,44.36
2025-03-07,44.43
2025-03-10,42.85
2025-03-11,42.16
2025-03-12,41.79
2025-03-13,41.47
2025-03-17,41.01
2025-03-18,42.27
2025-03-19,43.66
2025-03-20,44.04
2025-03-21,45.15
2025-03-24,46.89
2025-03-25,44.69
2025-03-26,43.13
2025-03-27,43.96
2025-03-28,42.77
2025-04-01,41.31
2025-04-02,36.86
2025-04-03,36.84
2025-04-04,36.17
2025-04-07,34.49
2025-04-08,35.1
2025-04-09,33.86
2025-04-11,34.43
2025-04-15,35.27
2025-04-16,36.11
2025-04-17,36.24
2025-04-21,37.45
2025-04-22,38.52
2025-04-23,38.24
2025-04-24,38.08
2025-04-25,36.9
2025-04-28,37.4
2025-04-29,37.86
2025-04-30,37.06
2025-05-02,36.74
2025-05-05,36.81
2025-05-06,34.84
2025-05-07,34.81
2025-05-08,34.36
2025-05-09,34.15
2025-05-12,36.19
2025-05-13,36.66
2025-05-14,36.96
2025-05-15,36.49
2025-05-16,36.49
2025-05-19,38.21
2025-05-20,36.81
2025-05-21,36.81
2025-05-22,36.82
2025-05-23,37.28
2025-05-26,37.29
2025-05-27,37.33
2025-05-28,37.49
2025-05-29,37.49
2025-05-30,38.94
2025-06-02,40.47
2025-06-03,40.14
2025-06-04,40.22
2025-06-05,40.36
2025-06-06,39.84
2025-06-09,40.34
2025-06-10,40.15
2025-06-11,40.13
2025-06-12,38.46
2025-06-13,38.09
2025-06-16,37.97
2025-06-17,37.97
2025-06-18,38.05
2025-06-19,36.65
2025-06-20,37.37
2025-06-23,38.12
2025-06-24,38.28
2025-06-25,38.88
2025-06-26,38.74
2025-06-27,39.2
2025-06-30,39.66
2025-07-01,40.48
2025-07-02,39.96
2025-07-03,39.61
2025-07-04,39.48
2025-07-07,39.37
2025-07-08,39.11
2025-07-09,39.41
2025-07-10,39.05
2025-07-11,38.48
2025-07-14,38.31
2025-07-15,38.29
2025-07-16,38.53
2025-07-17,38.62
2025-07-18,38.14
2025-07-21,38.12
2025-07-22,37.92
2025-07-23,37.72
2025-07-24,37.63
2025-07-25,36.87
2025-07-28,36.73
2025-07-29,36.88
2025-07-30,36.69
2025-07-31,36.41
2025-08-01,35.93
2025-08-04,36.0
2025-08-05,35.73
2025-08-06,35.68
2025-08-07,35.33
2025-08-08,35.77
2025-08-11,35.9
2025-08-12,36.19
2025-08-13,35.97
2025-08-14,36.11
2025-08-18,36.64
2025-08-19,36.64
2025-08-20,36.57
2025-08-21,36.37
2025-08-22,35.82
2025-08-25,35.62
2025-08-26,34.84
2025-08-28,34.5
2025-08-29,34.52
2025-09-01,35.05
2025-09-02,35.37
2025-09-03,35.68
2025-09-04,35.32
2025-09-05,35.18
2025-09-08,35.72
2025-09-09,35.56
2025-09-10,36.2
2025-09-11,36.35
2025-09-12,36.28
2025-09-15,36.67
2025-09-16,36.94
2025-09-17,37.82
2025-09-18,37.67
2025-09-19,38.2
2025-09-22,37.84
2025-09-23,37.91
2025-09-24,37.66
2025-09-25,37.3
2025-09-26,36.21
2025-09-29,36.56
2025-09-30,37.78
2025-10-01,37.63
2025-10-02,37.63
2025-10-03,37.8
2025-10-06,37.77
2025-10-07,37.67
2025-10-08,37.33
2025-10-09,37.32
2025-10-10,38.12
2025-10-13,37.8
2025-10-14,36.76
2025-10-15,38.0
2025-10-16,37.91
2025-10-17,36.92
2025-10-20,38.75
2025-10-21,39.1
2025-10-23,39.44
2025-10-24,39.07
2025-10-27,39.87
2025-10-28,40.4
2025-10-29,40.22
2025-10-30,39.3
2025-10-31,39.48
2025-11-03,39.95
2025-11-04,39.15
2025-11-06,38.11
2025-11-07,38.96
