Date,Close
2024-11-11,81.61
2024-11-12,79.89
2024-11-13,76.82
2024-11-14,77.06
2024-11-18,76.44
2024-11-19,77.68
2024-11-21,76.06
2024-11-22,76.78
2024-11-25,81.3
2024-11-26,81.83
2024-11-27,82.1
2024-11-28,82.17
2024-11-29,81.99
2024-12-02,81.49
2024-12-03,83.11
2024-12-04,86.9
2024-12-05,85.54
2024-12-06,85.12
2024-12-09,85.07
2024-12-10,84.54
2024-12-11,84.15
2024-12-12,83.03
2024-12-13,81.44
2024-12-16,81.57
2024-12-17,79.42
2024-12-18,78.51
2024-12-19,77.86
2024-12-20,76.03
2024-12-23,76.2
2024-12-24,76.05
2024-12-26,76.67
2024-12-27,76.49
2024-12-30,75.9
2024-12-31,76.49
2025-01-01,76.82
2025-01-02,76.63
2025-01-03,77.52
2025-01-06,73.84
2025-01-07,75.73
2025-01-08,74.58
2025-01-09,73.27
2025-01-10,69.43
2025-01-13,66.24
2025-01-14,77.9
2025-01-15,73.77
2025-01-16,79.63
2025-01-17,84.01
2025-01-20,86.14
2025-01-21,82.68
2025-01-22,79.6
2025-01-23,79.95
2025-01-24,76.79
2025-01-27,80.31
2025-01-28,77.69
2025-01-29,77.8
2025-01-30,79.2
2025-01-31,81.12
2025-02-01,79.26
2025-02-03,77.97
2025-02-04,79.31
2025-02-05,81.21
2025-02-06,80.25
2025-02-07,79.54
2025-02-10,76.73
2025-02-11,73.83
2025-02-12,74.33
2025-02-13,74.22
2025-02-14,72.12
2025-02-17,72.1
2025-02-18,71.39
2025-02-19,73.16
2025-02-20,74.23
2025-02-21,73.09
2025-02-24,71.78
2025-02-25,71.9
2025-02-27,71.02
2025-02-28,69.24
2025-03-03,67.49
2025-03-04,68.0
2025-03-05,70.77
2025-03-06,72.34
2025-03-07,72.79
2025-03-10,74.18
2025-03-11,72.74
2025-03-12,72.65
2025-03-13,72.1
2025-03-17,72.28
2025-03-18,72.93
2025-03-19,74.8
2025-03-20,75.26
2025-03-21,81.37
2025-03-24,80.92
2025-03-25,78.62
2025-03-26,77.49
2025-03-27,77.1
2025-03-28,77.7
2025-04-01,77.73
2025-04-02,78.4
2025-04-03,80.59
2025-04-04,78.39
2025-04-07,73.54
2025-04-08,76.97
2025-04-09,78.79
2025-04-11,79.49
2025-04-15,80.66
2025-04-16,81.54
2025-04-17,82.1
2025-04-21,83.12
2025-04-22,85.39
2025-04-23,83.98
2025-04-24,83.7
2025-04-25,80.43
2025-04-28,82.72
2025-04-29,83.07
2025-04-30,79.83
2025-05-02,79.87
2025-05-05,80.86
2025-05-06,77.79
2025-05-07,77.89
2025-05-08,76.87
2025-05-09,76.3
2025-05-12,81.79
2025-05-13,81.79
2025-05-14,85.61
2025-05-15,86.29
2025-05-16,86.0
2025-05-19,89.64
2025-05-20,90.93
2025-05-21,94.52
2025-05-22,93.33
2025-05-23,93.94
2025-05-26,92.04
2025-05-27,91.27
2025-05-28,93.37
2025-05-29,94.15
2025-05-30,96.81
2025-06-02,101.27
2025-06-03,98.45
2025-06-04,100.36
2025-06-05,101.12
2025-06-06,100.93
2025-06-09,101.32
2025-06-10,100.14
2025-06-11,100.04
2025-06-12,97.58
2025-06-13,94.82
2025-06-16,94.42
2025-06-17,92.48
2025-06-18,92.0
2025-06-19,89.26
2025-06-20,91.0
2025-06-23,91.07
2025-06-24,91.68
2025-06-25,94.54
2025-06-26,95.44
2025-06-27,101.32
2025-06-30,103.43
2025-07-01,104.85
2025-07-02,102.95
2025-07-03,101.4
2025-07-04,101.12
2025-07-07,101.38
2025-07-08,99.79
2025-07-09,99.88
2025-07-10,99.9
2025-07-11,99.0
2025-07-14,100.26
2025-07-15,98.14
2025-07-16,100.63
2025-07-17,99.67
2025-07-18,98.57
2025-07-21,97.19
2025-07-22,95.26
2025-07-23,97.38
2025-07-24,96.75
2025-07-25,93.23
2025-07-28,92.3
2025-07-29,93.02
2025-07-30,94.17
2025-07-31,92.67
2025-08-01,90.19
2025-08-04,91.38
2025-08-05,90.67
2025-08-06,89.59
2025-08-07,89.49
2025-08-08,90.29
2025-08-11,89.88
2025-08-12,88.38
2025-08-13,87.84
2025-08-14,87.35
2025-08-18,88.23
2025-08-19,89.55
2025-08-20,90.16
2025-08-21,97.58
2025-08-22,95.0
2025-08-25,94.51
2025-08-26,91.87
2025-08-28,89.91
2025-08-29,85.67
2025-09-01,87.05
2025-09-02,89.19
2025-09-03,90.62
2025-09-04,88.86
2025-09-05,88.87
2025-09-08,92.27
2025-09-09,92.26
2025-09-10,94.76
2025-09-11,92.85
2025-09-12,93.01
2025-09-15,93.47
2025-09-16,93.29
2025-09-17,92.95
2025-09-18,92.47
2025-09-19,93.76
2025-09-22,93.2
2025-09-23,93.23
2025-09-24,92.01
2025-09-25,90.89
2025-09-26,89.57
2025-09-29,89.35
2025-09-30,91.42
2025-10-01,92.35
2025-10-02,92.35
2025-10-03,92.6
2025-10-06,92.86
2025-10-07,92.29
2025-10-08,91.25
2025-10-09,91.4
2025-10-10,93.46
2025-10-13,93.23
2025-10-14,91.74
2025-10-15,93.15
2025-10-16,92.31
2025-10-17,91.72
2025-10-20,94.1
2025-10-21,94.3
2025-10-23,94.1
2025-10-24,93.93
2025-10-27,95.77
2025-10-28,102.18
2025-10-29,101.91
2025-10-30,97.9
2025-10-31,103.8
2025-11-03,101.51
2025-11-04,99.26
2025-11-06,97.26
2025-11-07,100.42
