Date,Close
2024-11-26,31.54
2024-11-27,34.49
2024-11-28,34.87
2024-11-29,37.02
2024-12-02,36.61
2024-12-03,35.65
2024-12-04,35.92
2024-12-05,37.71
2024-12-06,39.44
2024-12-09,41.41
2024-12-10,42.26
2024-12-11,42.87
2024-12-12,40.81
2024-12-13,39.76
2024-12-16,41.74
2024-12-17,43.3
2024-12-18,43.5
2024-12-19,43.9
2024-12-20,45.17
2024-12-23,46.6
2024-12-24,48.93
2024-12-26,51.3
2024-12-27,53.86
2024-12-30,53.11
2024-12-31,50.45
2025-01-01,47.92
2025-01-02,50.31
2025-01-03,52.82
2025-01-06,51.31
2025-01-07,53.87
2025-01-08,52.05
2025-01-09,51.1
2025-01-10,49.74
2025-01-13,49.1
2025-01-14,48.23
2025-01-15,46.81
2025-01-16,49.08
2025-01-17,48.7
2025-01-20,47.77
2025-01-21,48.7
2025-01-22,46.54
2025-01-23,46.97
2025-01-24,47.98
2025-01-27,45.58
2025-01-28,43.3
2025-01-29,45.46
2025-01-30,47.72
2025-01-31,49.61
2025-02-01,48.6
2025-02-03,50.32
2025-02-04,50.2
2025-02-05,50.22
2025-02-06,52.73
2025-02-07,52.62
2025-02-10,50.01
2025-02-11,48.83
2025-02-12,49.51
2025-02-13,49.88
2025-02-14,47.41
2025-02-17,47.9
2025-02-18,46.59
2025-02-19,47.22
2025-02-20,46.25
2025-02-21,45.69
2025-02-24,44.29
2025-02-25,44.97
2025-02-27,43.07
2025-02-28,42.86
2025-03-03,41.98
2025-03-04,42.59
2025-03-05,44.0
2025-03-06,44.04
2025-03-07,43.95
2025-03-10,41.75
2025-03-11,42.34
2025-03-12,41.54
2025-03-13,42.02
2025-03-17,41.44
2025-03-18,42.3
2025-03-19,43.1
2025-03-20,42.43
2025-03-21,43.44
2025-03-24,44.46
2025-03-25,43.29
2025-03-26,41.89
2025-03-27,42.73
2025-03-28,42.91
2025-04-01,43.55
2025-04-02,42.81
2025-04-03,41.99
2025-04-04,40.49
2025-04-07,38.46
2025-04-08,39.09
2025-04-09,37.99
2025-04-11,39.87
2025-04-15,41.86
2025-04-16,42.75
2025-04-17,43.31
2025-04-21,43.18
2025-04-22,43.34
2025-04-23,42.75
2025-04-24,42.23
2025-04-25,40.87
2025-04-28,41.07
2025-04-29,42.11
2025-04-30,41.06
2025-05-02,41.57
2025-05-05,41.2
2025-05-06,39.84
2025-05-07,41.1
2025-05-08,40.65
2025-05-09,40.83
2025-05-12,42.87
2025-05-13,45.01
2025-05-14,47.05
2025-05-15,44.94
2025-05-16,46.78
2025-05-19,46.24
2025-05-20,44.13
2025-05-21,44.23
2025-05-22,43.59
2025-05-23,42.45
2025-05-26,42.87
2025-05-27,40.72
2025-05-28,39.93
2025-05-29,39.35
2025-05-30,39.53
2025-06-02,38.94
2025-06-03,38.45
2025-06-04,38.77
2025-06-05,39.04
2025-06-06,38.89
2025-06-09,40.56
2025-06-10,40.62
2025-06-11,40.11
2025-06-12,39.36
2025-06-13,38.91
2025-06-16,39.97
2025-06-17,41.1
2025-06-18,41.82
2025-06-19,40.29
2025-06-20,40.15
2025-06-23,40.29
2025-06-24,41.43
2025-06-25,42.52
2025-06-26,41.72
2025-06-27,41.79
2025-06-30,41.21
2025-07-01,41.16
2025-07-02,43.72
2025-07-03,42.38
2025-07-04,42.74
2025-07-07,41.39
2025-07-08,41.6
2025-07-09,42.88
2025-07-10,44.68
2025-07-11,44.79
2025-07-14,44.97
2025-07-15,44.92
2025-07-16,45.54
2025-07-17,44.88
2025-07-18,44.17
2025-07-21,43.85
2025-07-22,43.53
2025-07-23,44.88
2025-07-24,44.35
2025-07-25,43.94
2025-07-28,42.09
2025-07-29,43.35
2025-07-30,42.39
2025-07-31,46.62
2025-08-01,44.96
2025-08-04,45.57
2025-08-05,45.41
2025-08-06,45.21
2025-08-07,46.35
2025-08-08,45.19
2025-08-11,44.3
2025-08-12,43.66
2025-08-13,45.37
2025-08-14,44.38
2025-08-18,45.85
2025-08-19,45.23
2025-08-20,44.86
2025-08-21,45.51
2025-08-22,46.06
2025-08-25,45.69
2025-08-26,45.8
2025-08-28,44.12
2025-08-29,43.87
2025-09-01,45.05
2025-09-02,44.81
2025-09-03,44.46
2025-09-04,43.65
2025-09-05,42.94
2025-09-08,42.02
2025-09-09,43.54
2025-09-10,44.27
2025-09-11,44.7
2025-09-12,44.45
2025-09-15,44.26
2025-09-16,44.73
2025-09-17,45.37
2025-09-18,46.48
2025-09-19,46.43
2025-09-22,44.89
2025-09-23,44.61
2025-09-24,43.32
2025-09-25,43.82
2025-09-26,43.15
2025-09-29,42.98
2025-09-30,42.66
2025-10-01,43.53
2025-10-02,43.53
2025-10-03,43.44
2025-10-06,44.19
2025-10-07,44.76
2025-10-08,45.04
2025-10-09,44.77
2025-10-10,46.37
2025-10-13,46.26
2025-10-14,44.32
2025-10-15,45.03
2025-10-16,45.81
2025-10-17,45.14
2025-10-20,45.53
2025-10-21,45.94
2025-10-23,47.52
2025-10-24,47.52
2025-10-27,48.48
2025-10-28,49.6
2025-10-29,50.87
2025-10-30,54.58
2025-10-31,52.54
2025-11-03,52.49
2025-11-04,51.56
2025-11-06,50.65
2025-11-07,51.82
