symbol,ma_type,short,long,total_return_pct,win_rate_pct,num_trades
MARUTI.XNSE,WMA,5,20,37.97202076866699,42.857142857142854,7
TATACONSUM.XNSE,SMA,5,20,23.63970805063959,60.0,5
ADANIPORTS.XNSE,SMA,10,50,22.587169678582413,100.0,1
TATASTEEL.XNSE,WMA,5,20,21.481317531692554,42.857142857142854,7
AXISBANK.XNSE,WMA,10,50,15.59948854135929,100.0,1
HDFCBANK.XNSE,SMA,10,50,15.130542551930114,50.0,2
BHARTIARTL.XNSE,SMA,5,20,12.312572423718505,50.0,6
KOTAKBANK.XNSE,EMA,20,100,11.964566046198705,100.0,1
RELIANCE.XNSE,WMA,20,100,7.938351920693928,100.0,1
M&M.XNSE,WMA,10,50,7.796070321080096,50.0,2
TATAPOWER.XNSE,SMA,10,50,7.398406912380175,100.0,1
ULTRACEMCO.XNSE,SMA,5,20,6.837311157186239,50.0,8
ICICIBANK.XNSE,EMA,10,50,6.207153685687766,50.0,2
LT.XNSE,WMA,5,20,6.071778896293643,33.33333333333333,6
ASIANPAINT.XNSE,WMA,5,20,4.774950008122941,50.0,6
TITAN.XNSE,SMA,20,100,2.078528856809131,100.0,1
HINDUNILVR.XNSE,WMA,10,50,2.02460380362408,50.0,4
SBIN.XNSE,WMA,10,50,0.6902380073144003,33.33333333333333,3
ADANIENT.XNSE,WMA,10,50,-0.4726881219378356,50.0,4
ITC.XNSE,SMA,10,50,-1.45114101813926,0.0,1
INFY.XNSE,EMA,20,100,-3.5825792453828673,0.0,1
TCS.XNSE,EMA,20,100,-3.6191157632341273,0.0,1
CIPLA.XNSE,EMA,20,100,-6.604172390649806,0.0,2
SUNPHARMA.XNSE,WMA,20,100,-8.407794343046312,0.0,2
TATAMOTORS.XNSE,WMA,5,20,-11.059980241903393,33.33333333333333,9
