Stock,Total Return (%),Win Rate (%),Trades,Max Drawdown (%)
ABCAPITAL,0.0,,0,
ABCAPITAL.XNSE,82.24,41.41,1,-15.09
ABFRL,0.0,,0,
ABFRL.XNSE,-66.79,16.75,6,-74.67
ACC,0.0,,0,
ADANIENT,0.0,,0,
ADANIENT.XNSE,-10.35,27.27,4,-17.69
ADANIPORTS,0.0,,0,
ADANIPORTS.XNSE,25.67,32.66,3,-11.77
AKZOINDIA,0.0,,0,
ANANDRATHI,0.0,,0,
ANGELONE,0.0,,0,
ANGELONE.XNSE,23.32,23.74,3,-35.05
APLAPOLLO,0.0,,0,
APLLTD,0.0,,0,
APOLLOTYRE,0.0,,0,
APOLLOTYRE.XNSE,15.28,26.13,3,-16.38
ASAHIINDIA,0.0,,0,
ASIANPAINT.XNSE,3.79,25.63,5,-10.5
ASTERDM,0.0,,0,
ATHERENERG,0.0,,0,
ATHERENERG.XNSE,90.72,60.0,0,-17.24
AUBANK,0.0,,0,
AUBANK.XNSE,31.64,31.66,4,-19.23
AXISBANK.XNSE,22.43,28.14,3,-15.27
BAJAJFINSV,0.0,,0,
BAJAJFINSV.XNSE,16.31,36.22,6,-9.36
BAJFINANCE,0.0,,0,
BAJFINANCE.XNSE,-86.03,35.03,2,-91.12
BANDHANBNK,0.0,,0,
BANKBARODA,0.0,,0,
BANKINDIA,0.0,,0,
BANKINDIA.XNSE,24.78,30.27,5,-16.49
BATAINDIA,0.0,,0,
BDL,0.0,,0,
BEL,0.0,,0,
BEML,0.0,,0,
BHARTIARTL.XNSE,8.93,39.09,4,-9.03
BHEL,0.0,,0,
BLUEJET,0.0,,0,
BLUEJET.XNSE,11.49,26.77,3,-44.4
BPCL,0.0,,0,
BPCL.XNSE,32.58,31.82,3,-15.31
BRITANNIA,0.0,,0,
BRITANNIA.XNSE,3.67,40.2,5,-12.04
BSE,0.0,,0,
BSE.XNSE,-58.39,16.67,6,-72.65
BSOFT,0.0,,0,
CAMPUS,0.0,,0,
CAMPUS.XNSE,2.37,22.73,3,-22.25
CAMS,0.0,,0,
CAMS.XNSE,-6.2,23.23,5,-24.65
CANBK,0.0,,0,
CARBORUNIV,0.0,,0,
CARBORUNIV.XNSE,-13.49,11.62,8,-31.06
CCL,0.0,,0,
CCL.XNSE,33.6,25.25,3,-19.07
CDSL,0.0,,0,
CDSL.XNSE,21.84,23.35,3,-30.2
CEATLTD,0.0,,0,
CENTRALBK,0.0,,0,
CENTRALBK.XNSE,-3.84,13.64,3,-35.28
CHENNPETRO,0.0,,0,
CHENNPETRO.XNSE,51.48,32.83,3,-22.4
CHOLAFIN,0.0,,0,
CIPLA,0.0,,0,
CIPLA.XNSE,-25.27,27.27,14,-9.76
COALINDIA,0.0,,0,
COCHINSHIP,0.0,,0,
COCHINSHIP.XNSE,20.73,25.25,4,-32.94
CONCOR,0.0,,0,
CREDITACC,0.0,,0,
CREDITACC.XNSE,7.69,43.43,4,-21.18
DBREALTY,0.0,,0,
DCMSHRIRAM,0.0,,0,
DCMSHRIRAM.XNSE,-2.07,26.26,7,-22.83
EICHERMOT,0.0,,0,
ENDURANCE,0.0,,0,
ENGINERSIN,0.0,,0,
ENRIN,0.0,,0,
ERIS,0.0,,0,
FEDERALBNK,0.0,,0,
FINPIPE,0.0,,0,
FINPIPE.XNSE,5.87,17.77,4,-21.61
FIVESTAR,0.0,,0,
FIVESTAR.XNSE,-33.2,15.66,9,-39.52
FORCEMOT,0.0,,0,
FORCEMOT.XNSE,150.02,39.9,2,-30.11
FORTIS,0.0,,0,
GAIL,0.0,,0,
GESHIP,0.0,,0,
GESHIP.XNSE,-7.54,25.76,7,-18.93
GICRE,0.0,,0,
GLENMARK,0.0,,0,
GMDCLTD,0.0,,0,
GMDCLTD.XNSE,105.89,36.22,3,-26.06
GMRAIRPORT,0.0,,0,
GODIGIT,0.0,,0,
GPIL,0.0,,0,
GPIL.XNSE,44.85,32.32,3,-19.31
GRASIM,0.0,,0,
GVT&D,0.0,,0,
GVT&D.XNSE,102.05,54.01,0,-13.01
HAL,0.0,,0,
HAVELLS,0.0,,0,
HBLENGINE,0.0,,0,
HDFCAMC,0.0,,0,
HDFCBANK.XNSE,14.67,31.98,5,-53.39
HDFCLIFE,0.0,,0,
HDFCLIFE.XNSE,6.23,29.65,8,-10.13
HINDCOPPER,0.0,,0,
HINDCOPPER.XNSE,7.04,27.64,7,-23.52
HINDPETRO,0.0,,0,
HINDUNILVR.XNSE,-3.81,25.13,6,-13.91
HINDZINC,0.0,,0,
HUDCO,0.0,,0,
HUDCO.XNSE,17.06,26.77,5,-28.11
ICICIBANK,0.0,,0,
ICICIBANK.XNSE,2.7,20.71,6,-11.3
ICICIGI,0.0,,0,
ICICIPRULI,0.0,,0,
ICICIPRULI.XNSE,-0.62,18.59,5,-15.57
IDBI,0.0,,0,
IDBI.XNSE,15.3,31.82,7,-18.29
IDEA,0.0,,0,
IDEA.XNSE,-11.24,17.59,6,-35.94
IDFCFIRSTB,0.0,,0,
IEX,0.0,,0,
IGL,0.0,,0,
IIFL,0.0,,0,
IKS,0.0,,0,
INDIANB,0.0,,0,
INDUSINDBK,0.0,,0,
INFY,0.0,,0,
INFY.XNSE,-6.12,17.26,7,-27.09
IOB,0.0,,0,
IOB.XNSE,-15.9,17.09,5,-32.3
IPCALAB,0.0,,0,
IREDA,0.0,,0,
IRFC,0.0,,0,
ITC.XNSE,-4.47,8.59,3,-14.64
J&KBANK,0.0,,0,
J&KBANK.XNSE,-26.44,22.96,11,-21.03
JBCHEPHARM,0.0,,0,
JINDALSTEL,0.0,,0,
JINDALSTEL.XNSE,-4.55,35.35,7,-15.04
JIOFIN,0.0,,0,
JKTYRE,0.0,,0,
JKTYRE.XNSE,43.64,28.28,3,-27.44
JSL,0.0,,0,
KARURVYSYA,0.0,,0,
KEI,0.0,,0,
KFINTECH,0.0,,0,
KFINTECH.XNSE,-6.1,22.22,5,-34.51
KIMS,0.0,,0,
KOTAKBANK.XNSE,1.76,35.03,4,-14.38
LICI,0.0,,0,
LICI.XNSE,16.7,28.79,3,-14.03
LT.XNSE,-3.49,30.3,7,-14.39
LTF,0.0,,0,
LTF.XNSE,85.64,47.98,5,-13.46
LUPIN,0.0,,0,
M&M,0.0,,0,
M&M.XNSE,10.58,35.35,3,-22.11
M&MFIN,0.0,,0,
M&MFIN.XNSE,-11.62,23.74,9,-18.16
MAHABANK,0.0,,0,
MAHABANK.XNSE,10.36,22.22,3,-14.95
MAPMYINDIA,0.0,,0,
MAPMYINDIA.XNSE,-16.22,19.19,7,-22.74
MARUTI.XNSE,19.02,37.69,4,-13.78
MAXHEALTH,0.0,,0,
MAZDOCK,0.0,,0,
MCX,0.0,,0,
MCX.XNSE,65.28,29.59,3,-25.85
MFSL,0.0,,0,
MFSL.XNSE,23.79,35.35,6,-12.17
MINDACORP,0.0,,0,
MOTILALOFS,0.0,,0,
MRF,0.0,,0,
MRPL,0.0,,0,
MUTHOOTFIN,0.0,,0,
NATIONALUM,0.0,,0,
NATIONALUM.XNSE,22.21,26.63,3,-30.45
NAUKRI,0.0,,0,
NBCC,0.0,,0,
NBCC.XNSE,26.26,23.74,3,-27.02
NETWEB,0.0,,0,
NETWEB.XNSE,99.42,34.34,1,-31.03
NEULANDLAB,0.0,,0,
NIVABUPA,0.0,,0,
NMDC,0.0,,0,
NTPC,0.0,,0,
PATANJALI,0.0,,0,
PAYTM,0.0,,0,
PAYTM.XNSE,56.08,39.39,3,-21.65
PETRONET,0.0,,0,
PHOENIXLTD,0.0,,0,
PNB,0.0,,0,
POLICYBZR,0.0,,0,
POWERGRID,0.0,,0,
POWERINDIA,0.0,,0,
POWERINDIA.XNSE,55.64,30.81,2,-21.97
PREMIERENE,0.0,,0,
PREMIERENE.XNSE,-11.4,24.87,5,-22.86
PRESTIGE,0.0,,0,
RADICO,0.0,,0,
RADICO.XNSE,45.71,44.67,1,-20.35
RAINBOW,0.0,,0,
RBLBANK,0.0,,0,
RCF,0.0,,0,
RECLTD,0.0,,0,
REDINGTON,0.0,,0,
RELIANCE.XNSE,-3.66,24.24,10,-12.17
SAGILITY,0.0,,0,
SAGILITY.XNSE,-11.6,20.63,8,-27.95
SAIL,0.0,,0,
SAIL.XNSE,17.66,39.7,3,-13.69
SARDAEN,0.0,,0,
SBFC,0.0,,0,
SBILIFE,0.0,,0,
SBIN.XNSE,13.3,36.36,7,-11.6
SCI,0.0,,0,
SCI.XNSE,44.33,29.29,3,-29.89
SHRIRAMFIN,0.0,,0,
SHRIRAMFIN.XNSE,13.77,26.13,7,-19.13
SHYAMMETL,0.0,,0,
SHYAMMETL.XNSE,4.74,21.72,6,-15.41
SOBHA,0.0,,0,
SOBHA.XNSE,4.58,25.25,7,-21.27
SOLARINDS,0.0,,0,
SONACOMS,0.0,,0,
SONATSOFTW,0.0,,0,
STARHEALTH,0.0,,0,
SUNPHARMA.XNSE,-5.26,17.59,5,-15.07
SUNTV,0.0,,0,
SWANCORP,0.0,,0,
SYRMA,0.0,,0,
TATACONSUM.XNSE,8.02,31.16,6,-12.1
TATAINVEST,0.0,,0,
TATAINVEST.XNSE,-86.77,32.32,8,-99.92
TATAMOTORS.XNSE,-44.84,17.28,6,-48.06
TATAPOWER,0.0,,0,
TATAPOWER.XNSE,6.77,32.66,3,-10.51
TATASTEEL,0.0,,0,
TATASTEEL.XNSE,5.66,36.55,9,-20.03
TBOTEK,0.0,,0,
TCS.XNSE,-15.22,4.55,7,-30.51
TECHNOE,0.0,,0,
THELEELA,0.0,,0,
THELEELA.XNSE,-1.25,31.15,2,-10.36
TITAN.XNSE,-8.48,25.63,8,-16.98
TORNTPHARM,0.0,,0,
TORNTPOWER,0.0,,0,
TRIVENI,0.0,,0,
TVSMOTOR,0.0,,0,
UCOBANK,0.0,,0,
UCOBANK.XNSE,-12.54,10.1,5,-35.65
ULTRACEMCO.XNSE,-12.67,27.41,6,-12.99
UNIONBANK,0.0,,0,
UNIONBANK.XNSE,34.39,34.85,3,-19.67
UNITDSPR,0.0,,0,
UPL,0.0,,0,
UPL.XNSE,24.23,33.84,4,-11.21
USHAMART,0.0,,0,
UTIAMC,0.0,,0,
VEDL,0.0,,0,
VEDL.XNSE,-5.21,25.25,5,-21.55
VMM,0.0,,0,
VOLTAS,0.0,,0,
VOLTAS.XNSE,-20.25,26.4,8,-19.35
VTL,0.0,,0,
VTL.XNSE,-6.43,15.74,5,-24.3
WELCORP,0.0,,0,
WELSPUNLIV,0.0,,0,
WELSPUNLIV.XNSE,-7.2,21.21,7,-29.89
YESBANK,0.0,,0,
ZYDUSLIFE,0.0,,0,
